group,att,inter,likeable,PI,image_path,label,label_num,description_phi4
198,4.4,4.0,4.1,3.4,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/198 - 10217371742653984263.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of admiration and aspiration. The low-level features such as the bright green color, the sleek design of the car, and the clear, well-lit image contribute to a visual appeal that can evoke feelings of excitement and desire. The high-level features, such as the luxury brand, the open-top convertible model, and the urban setting, might make the person think about the status and success associated with owning such a car. It could also evoke feelings of envy or longing for a lifestyle that includes such high-end possessions."
141,3.63636363636364,3.63636363636364,3.72727272727273,3.18181818181818,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/141 - 11761115101391589064.jpeg,Bottom33Pct,0.0,"At a low level, the person might think and feel excited about the sleek design of the red car, the smooth curves, and the shiny rims of the tires. They might also appreciate the modern and stylish look of the car, which could evoke feelings of luxury and sophistication. At a high level, the person might think and feel that the car represents a sense of freedom and adventure, as it is positioned on a red slope, suggesting the idea of driving off into the distance. The combination of the car's design and the dynamic background could evoke feelings of excitement, anticipation, and the desire to experience the open road."
108,4.7,4.2,4.0,3.4,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/108 - 17957682504761528963.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of luxury, sophistication, and reliability. The low-level features such as the grille, headlights, and wheels contribute to the image's overall aesthetic appeal, giving it a polished and high-end look. The high-level features, such as the SUV's stance, design, and the quality of the image itself, suggest a sense of prestige and status associated with the vehicle. The desert background adds an element of adventure and exploration, implying that the SUV is capable of handling various terrains and conditions. The image might evoke feelings of excitement and anticipation for a new vehicle that combines both luxury and functionality."
317,3.66666666666667,2.66666666666667,4.16666666666667,2.66666666666667,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/317 - 11537429790812733567.jpeg,Bottom33Pct,0.0,"A person seeing the image might feel excited and intrigued by the sleek design of the red car, which stands out against the blue background. The high-level feature of the car's modern and stylish appearance could evoke a sense of luxury and desirability. The low-level features, such as the car's shiny red color and the reflection on the water, might enhance the feeling of freshness and newness. The text ""Honda's purchased from"" could also make the viewer curious about the car's origin and the brand's reputation."
allinone9,5.5,5.7,5.5,5.4,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/named_images/allinone/allin1 (9).png,Top33Pct,2.0,"A person seeing the image might think and feel a sense of excitement and anticipation due to the sleek design and modern features of the car, such as the distinctive taillights and the license plate. The car's performance and style could evoke feelings of aspiration and desire for a new, high-quality vehicle. The image of the car driving on a dirt road surrounded by rocks might also inspire thoughts of adventure and the thrill of exploring new terrains, suggesting that the car is capable of handling diverse driving conditions. The overall impression might be one of admiration for the car's design and capabilities, as well as a sense of longing for the experience of driving such a vehicle."
PI4,4.11111111111111,5.22222222222222,5.22222222222222,4.22222222222222,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/named_images/PI/PI (4).png,Top33Pct,2.0,"A person seeing the image might think and feel a sense of excitement and anticipation due to the sleek design and modern features of the ZWP car. The low-level features such as the car's shiny silver color, the intricate design of the headlights, and the stylish rims of the wheels contribute to a feeling of sophistication and luxury. The high-level features, including the car's overall shape and the driver's badge, suggest that this is a high-end vehicle, potentially from a well-known brand. The image also evokes a sense of adventure and freedom, as the car is presented in a natural, mountainous setting, which could imply that the car is designed for both city driving and off-road exploration."
298,5.0,4.2,4.8,4.1,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/298 - 11109279565137607196.jpeg,Top33Pct,2.0,"A person seeing the image might think and feel a sense of modernity and environmental consciousness. The low-level features such as the sleek design of the car, the color scheme, and the charging station suggest a focus on technology and sustainability. The high-level features, including the car's brand and the presence of the charging station, may evoke feelings of innovation and the future of transportation. The overall composition of the image, with the car positioned prominently in the foreground and the charging station in the background, creates a narrative of progress and the adoption of cleaner energy sources."
022,4.25,3.25,3.75,2.75,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/022 - 12598556164369125306.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of admiration or desire for the vehicle, given its sleek design and modern appearance. The low-level features such as the well-maintained tires, the clear road, and the good weather conditions contribute to a feeling of smoothness and reliability. The high-level features like the car's color, the design of the wheels, and the overall aesthetic of the vehicle might evoke feelings of luxury and sophistication. The car's positioning on the road suggests a sense of motion and freedom, which could make the viewer feel excited about the possibilities of owning such a vehicle."
091,3.09090909090909,3.72727272727273,4.27272727272727,2.09090909090909,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/091 - 12310033819692607516.jpeg,Bottom33Pct,0.0,"A person seeing the image might think and feel a sense of adventure and excitement due to the rugged and off-road setting. The low-level features such as the dirt path, the natural landscape, and the water body evoke a feeling of being in a remote, unexplored area, which can be thrilling for outdoor enthusiasts. The high-level features like the Ford F-150 truck, a symbol of strength and reliability, suggest that the vehicle is capable of navigating through challenging terrains, which adds to the adventurous feel. The overall composition of the image, with the truck positioned prominently in the foreground, leads the viewer's eye through the scene, enhancing the sense of journey and exploration."
524,4.63636363636364,4.09090909090909,4.18181818181818,2.36363636363636,/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA2/data/AIDA_images/numbered_images/524 - 11913296679435116913.jpeg,Mid33Pct,1.0,"A person seeing the image might think and feel a sense of modernity and efficiency. The low-level features such as the sleek design, the modern headlight, and the clean lines of the Volkswagen van suggest a vehicle that is up-to-date with current automotive trends. The high-level features, including the choice of a white color and the presence of a license plate, indicate that the van is ready for use and possibly for a professional setting. The urban background with buildings and a clear sky might evoke feelings of reliability and trust in the vehicle's performance, as it seems capable of navigating city streets. Overall, the image conveys a sense of practicality and style that could appeal to someone looking for a dependable and contemporary vehicle."
