image_path,label,label_num,description_phi4_noresize,description_phi4,prediction_gpt5_allclassprobs,prediction_convnext_allclassprobs
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/59261.jpg,Watches,32.0,"Low-level features: The image is a blurred depiction of what appears to be a ring with a unique design. The ring has a central stone surrounded by a pattern that resembles a flower or a mandala, with a symmetrical arrangement of petals or leaves. The material of the ring seems to be a golden or brass color, and it has a simple, elegant shape with a small loop at the bottom for attaching to a chain or a bracelet.

High-level features: The ring's design suggests a sense of beauty and intricacy, which might evoke feelings of appreciation for the craftsmanship and artistry involved in creating such a piece of jewelry. The central stone could represent a focal point of beauty and could be associated with positive emotions such as love, commitment, or appreciation. The symmetrical pattern might also give a sense of balance and harmony, which are often associated with positive feelings. Overall, a person seeing the image might feel a sense of admiration for the ring's design and the emotions it could symbolize.","Low-level features: The image is a blurred image of a gold-colored object with a symmetrical design and a central element that resembles a flower or a star. The object appears to be a piece of jewelry, possibly a pendant or a brooch, with a thin, delicate structure and a small, round element that could be a gemstone or a decorative feature.

High-level features: The object has an elegant and sophisticated appearance, which may evoke feelings of luxury, refinement, and tastefulness. The symmetrical design and central element give the object a balanced and harmonious look, which can be associated with beauty and grace. The gold color adds a sense of warmth and richness, while the small, round element adds a touch of mystery and curiosity. Overall, the object may be perceived as a piece of high-quality jewelry that could be cherished and worn with pride.","{""Watches"":0.985,""Topwear"":0.0,""Sandal"":0.0,""Bottomwear"":0.0,""Shoes"":0.0,""Apparel Set"":0.0,""Accessories"":0.005,""Flip Flops"":0.0,""Bags"":0.0,""Lips"":0.0,""Jewellery"":0.01,""Wallets"":0.0,""Eyewear"":0.0,""Innerwear"":0.0,""Headwear"":0.0,""Nails"":0.0,""Belts"":0.0,""Skin Care"":0.0,""Saree"":0.0,""Dress"":0.0,""Fragrance"":0.0,""Skin"":0.0,""Mufflers"":0.0,""Ties"":0.0,""Makeup"":0.0}","{""0.0"": 0.005047, ""1.0"": 0.002436, ""10.0"": 0.000773, ""11.0"": 0.005835, ""14.0"": 0.002895, ""15.0"": 0.002326, ""16.0"": 0.017772, ""17.0"": 0.008834, ""19.0"": 0.002129, ""2.0"": 0.006599, ""21.0"": 0.002962, ""22.0"": 0.001344, ""23.0"": 0.002741, ""25.0"": 0.001713, ""27.0"": 0.000726, ""29.0"": 0.004607, ""30.0"": 0.002067, ""31.0"": 0.001771, ""32.0"": 0.909228, ""4.0"": 0.00311, ""5.0"": 0.004992, ""7.0"": 0.004591, ""9.0"": 0.001989, ""nan"": 0.003514}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/22336.jpg,Topwear,30.0,"The person in the image is wearing a casual, short-sleeved, striped polo shirt with a collar and button placket, paired with dark blue jeans. The low-level features that can be observed are the specific colors, patterns, and textures of the clothing, as well as the person's posture and stance. The high-level features include the overall style and formality of the outfit, which suggests a casual, everyday look suitable for a variety of indoor settings. The person appears to be standing straight with a neutral facial expression, which does not convey any strong emotions or reactions.","The person in the image is wearing a casual, striped polo shirt and jeans. The low-level features such as the fabric texture, color, and the fit of the clothing are typical of everyday wear. The high-level features like the style of the shirt and the casual nature of the attire might make a viewer think that the person is dressed for a casual, possibly outdoor setting. The viewer might feel that the person is dressed in a relaxed and comfortable manner.","{""Watches"":0.01,""Topwear"":0.9381,""Sandal"":0.001,""Bottomwear"":0.02,""Shoes"":0.005,""Apparel Set"":0.008,""Accessories"":0.004,""Flip Flops"":0.001,""Bags"":0.001,""Lips"":0.0002,""Jewellery"":0.001,""Wallets"":0.0008,""Eyewear"":0.002,""Innerwear"":0.0015,""Headwear"":0.0008,""Nails"":0.0002,""Belts"":0.0015,""Skin Care"":0.0005,""Saree"":0.0002,""Dress"":0.001,""Fragrance"":0.0005,""Skin"":0.0005,""Mufflers"":0.0005,""Ties"":0.0005,""Makeup"":0.0002}","{""0.0"": 3.2e-05, ""1.0"": 0.000165, ""10.0"": 5e-06, ""11.0"": 1.5e-05, ""14.0"": 1e-05, ""15.0"": 6.3e-05, ""16.0"": 5.7e-05, ""17.0"": 2.6e-05, ""19.0"": 2.3e-05, ""2.0"": 5e-05, ""21.0"": 2.7e-05, ""22.0"": 2.8e-05, ""23.0"": 2.2e-05, ""25.0"": 1.6e-05, ""27.0"": 1.3e-05, ""29.0"": 4.9e-05, ""30.0"": 0.997581, ""31.0"": 1.9e-05, ""32.0"": 0.000141, ""4.0"": 4.3e-05, ""5.0"": 0.000579, ""7.0"": 0.000963, ""9.0"": 3.6e-05, ""nan"": 3.5e-05}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/50276.jpg,Sandal,22.0,"The low-level features of the image, which include the specific details of the sandal, such as its color, material, and design, might lead a person to think about the sandal's style and suitability for certain occasions. The sandal appears to be a casual, open-toed sandal with a strap design that might be associated with warmer weather or a relaxed setting. The high-level features, which involve the overall impression of the image, could evoke feelings of comfort, leisure, or summer vibes. The sandal might be associated with activities like a beach outing, a casual day at the park, or a casual outing with friends. The image does not provide enough context to determine the brand or quality of the sandal, which could influence a person's perception of its value or desirability.","A person seeing the image might think and feel a sense of relaxation or vacation, as the sandals are a common footwear choice for warm weather and beachside settings. The low-level features such as the brown color and the thin straps suggest a light and airy design, which is often associated with comfort and ease. The high-level features, including the sandal's style and the absence of any additional embellishments, give the impression of a simple, classic design that is versatile and easy to wear, which could evoke feelings of simplicity and practicality. Overall, the image might evoke a sense of leisure and casualness.","{""Watches"":0.001,""Topwear"":0.001,""Sandal"":0.95,""Bottomwear"":0.001,""Shoes"":0.01,""Apparel Set"":0.001,""Accessories"":0.005,""Flip Flops"":0.02,""Bags"":0.001,""Lips"":0.0005,""Jewellery"":0.001,""Wallets"":0.001,""Eyewear"":0.0005,""Innerwear"":0.0005,""Headwear"":0.0005,""Nails"":0.0005,""Belts"":0.002,""Skin Care"":0.0005,""Saree"":0.0005,""Dress"":0.001,""Fragrance"":0.0005,""Skin"":0.0005,""Mufflers"":0.0005,""Ties"":0.0,""Makeup"":0.0}","{""0.0"": 0.001696, ""1.0"": 0.008761, ""10.0"": 0.076995, ""11.0"": 0.00258, ""14.0"": 0.00341, ""15.0"": 0.006742, ""16.0"": 0.004106, ""17.0"": 0.001623, ""19.0"": 0.002238, ""2.0"": 0.01903, ""21.0"": 0.001788, ""22.0"": 0.183651, ""23.0"": 0.004069, ""25.0"": 0.614539, ""27.0"": 0.003295, ""29.0"": 0.005005, ""30.0"": 0.011872, ""31.0"": 0.004113, ""32.0"": 0.017402, ""4.0"": 0.003928, ""5.0"": 0.007704, ""7.0"": 0.004641, ""9.0"": 0.003427, ""nan"": 0.007385}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/47058.jpg,Bottomwear,5.0,"The low-level features of the image, such as the colors, shapes, and textures, suggest a casual and relaxed attire. The high-level features, such as the style of the dress and the sandals, might make a person think and feel that the image is showcasing a summer outfit suitable for a casual outing or a leisurely day outdoors. The combination of the vibrant floral pattern and the solid blue top could evoke feelings of playfulness and a sense of fun.","A person seeing the image might think and feel a sense of calm and relaxation due to the soft color palette and the relaxed pose of the person. The low-level features such as the blue top and floral pants suggest a casual yet stylish look, which could evoke feelings of comfort and personal expression. The high-level features, such as the pose with the hand on the hip and the overall relaxed demeanor, contribute to the feeling of ease and confidence.","{""Watches"":0.001,""Topwear"":0.06,""Sandal"":0.044,""Bottomwear"":0.86,""Shoes"":0.005,""Apparel Set"":0.011,""Accessories"":0.003,""Flip Flops"":0.001,""Bags"":0.001,""Lips"":0.0,""Jewellery"":0.001,""Wallets"":0.0,""Eyewear"":0.0,""Innerwear"":0.0,""Headwear"":0.0,""Nails"":0.0,""Belts"":0.001,""Skin Care"":0.0,""Saree"":0.002,""Dress"":0.01,""Fragrance"":0.0,""Skin"":0.0,""Mufflers"":0.0,""Ties"":0.0,""Makeup"":0.0}","{""0.0"": 0.001848, ""1.0"": 0.011476, ""10.0"": 0.000221, ""11.0"": 0.000856, ""14.0"": 0.000722, ""15.0"": 0.001234, ""16.0"": 0.001863, ""17.0"": 0.003717, ""19.0"": 0.001563, ""2.0"": 0.000702, ""21.0"": 0.000561, ""22.0"": 0.001409, ""23.0"": 0.001604, ""25.0"": 0.000441, ""27.0"": 0.000312, ""29.0"": 0.001766, ""30.0"": 0.025219, ""31.0"": 0.00081, ""32.0"": 0.004956, ""4.0"": 0.000679, ""5.0"": 0.923041, ""7.0"": 0.011529, ""9.0"": 0.000555, ""nan"": 0.002919}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/26452.jpg,Shoes,25.0,"Based on the image, a person might think and feel that the shoe is designed for athletic or performance use, given the presence of the red and black color scheme, which is often associated with sports brands. The high-top design suggests that the shoe provides ankle support, which is a feature that could give the wearer a sense of security and stability, especially during physical activities. The modern and sleek design indicates that the shoe is likely to be comfortable and stylish, which could evoke feelings of confidence and readiness for an active lifestyle. The absence of any visible branding or logos suggests that the shoe could be a generic model, which might lead to a feeling of anonymity or universality in its appeal.","A person seeing the image might think and feel that the shoe is designed for athletic activities, possibly running or basketball, due to its sleek design and form-fitting shape. The low-level features such as the laces and the sole suggest functionality and support, while the high-level features like the color and design indicate a modern and sporty aesthetic. The person might feel that the shoe is a good choice for someone who values performance and style in their athletic wear.","{""Watches"":0.000625,""Topwear"":0.000625,""Sandal"":0.000625,""Bottomwear"":0.000625,""Shoes"":0.985,""Apparel Set"":0.000625,""Accessories"":0.000625,""Flip Flops"":0.000625,""Bags"":0.000625,""Lips"":0.000625,""Jewellery"":0.000625,""Wallets"":0.000625,""Eyewear"":0.000625,""Innerwear"":0.000625,""Headwear"":0.000625,""Nails"":0.000625,""Belts"":0.000625,""Skin Care"":0.000625,""Saree"":0.000625,""Dress"":0.000625,""Fragrance"":0.000625,""Skin"":0.000625,""Mufflers"":0.000625,""Ties"":0.000625,""Makeup"":0.000625}","{""0.0"": 5e-06, ""1.0"": 4.9e-05, ""10.0"": 0.000142, ""11.0"": 4.6e-05, ""14.0"": 3.7e-05, ""15.0"": 5.3e-05, ""16.0"": 4e-05, ""17.0"": 2.1e-05, ""19.0"": 1.4e-05, ""2.0"": 6.1e-05, ""21.0"": 2.2e-05, ""22.0"": 0.000513, ""23.0"": 4.5e-05, ""25.0"": 0.998364, ""27.0"": 2e-05, ""29.0"": 4e-05, ""30.0"": 0.000106, ""31.0"": 1.7e-05, ""32.0"": 0.000193, ""4.0"": 2.1e-05, ""5.0"": 3.5e-05, ""7.0"": 5.7e-05, ""9.0"": 3.7e-05, ""nan"": 6.2e-05}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/14675.jpg,Topwear,30.0,"The person in the image appears to be wearing a casual, patterned shirt with rolled-up sleeves, which suggests a relaxed and informal setting. The shirt's pattern and style might evoke a sense of leisure or casual social gatherings. The person's posture and the plain background give a neutral feel, focusing attention on the attire. The overall impression could be one of casual comfort and everyday style.","The person in the image appears to be presenting a casual yet stylish appearance. The low-level features such as the fabric texture of the shirt, the patterns, and the color tone suggest a relaxed and comfortable style. The high-level features, including the fit of the shirt and the choice of casual jeans, indicate a laid-back fashion sense. The overall impression would be one of casual elegance, suitable for everyday wear or informal social settings.","{""Watches"":0.004,""Topwear"":0.95,""Sandal"":0.001,""Bottomwear"":0.02,""Shoes"":0.002,""Apparel Set"":0.0002,""Accessories"":0.005,""Flip Flops"":0.001,""Bags"":0.001,""Lips"":0.0002,""Jewellery"":0.001,""Wallets"":0.001,""Eyewear"":0.003,""Innerwear"":0.001,""Headwear"":0.001,""Nails"":0.001,""Belts"":0.002,""Skin Care"":0.001,""Saree"":0.0005,""Dress"":0.001,""Fragrance"":0.0005,""Skin"":0.001,""Mufflers"":0.0005,""Ties"":0.0007,""Makeup"":0.0004}","{""0.0"": 4.1e-05, ""1.0"": 0.000449, ""10.0"": 7e-06, ""11.0"": 3e-05, ""14.0"": 1.4e-05, ""15.0"": 9.9e-05, ""16.0"": 0.00011, ""17.0"": 5.3e-05, ""19.0"": 3.9e-05, ""2.0"": 6.9e-05, ""21.0"": 4e-05, ""22.0"": 5.5e-05, ""23.0"": 4.1e-05, ""25.0"": 2.1e-05, ""27.0"": 2e-05, ""29.0"": 7.2e-05, ""30.0"": 0.995006, ""31.0"": 3.2e-05, ""32.0"": 0.000318, ""4.0"": 5.5e-05, ""5.0"": 0.001272, ""7.0"": 0.002039, ""9.0"": 5.8e-05, ""nan"": 5.8e-05}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/19095.jpg,Topwear,30.0,"The image shows a person wearing a long, orange dress with a geometric pattern. The dress appears to be casual and comfortable, with a relaxed fit. The high-level features of the image, such as the color and pattern of the dress, suggest a warm and vibrant atmosphere. The low-level features, such as the texture of the fabric and the way the dress drapes on the body, give a sense of ease and casualness. A person seeing the image might feel a sense of warmth, comfort, and simplicity. They might also associate the dress with a casual or everyday setting, given its relaxed fit and style.","The image shows a person wearing a long, orange tunic with a checkered pattern. The low-level features include the texture of the fabric, the color, and the pattern. The high-level features include the style of the tunic, which appears to be modest and possibly traditional or cultural in origin. A person seeing this image might think about the fashion or cultural significance of such attire and feel a sense of curiosity or appreciation for the design.","{""Watches"":0.0011,""Topwear"":0.9,""Sandal"":0.0013,""Bottomwear"":0.003,""Shoes"":0.0013,""Apparel Set"":0.01,""Accessories"":0.006,""Flip Flops"":0.0013,""Bags"":0.0013,""Lips"":0.0013,""Jewellery"":0.005,""Wallets"":0.0013,""Eyewear"":0.0013,""Innerwear"":0.0013,""Headwear"":0.0013,""Nails"":0.0013,""Belts"":0.0013,""Skin Care"":0.0013,""Saree"":0.003,""Dress"":0.05,""Fragrance"":0.0013,""Skin"":0.0013,""Mufflers"":0.0013,""Ties"":0.0013,""Makeup"":0.0011}","{""0.0"": 0.000527, ""1.0"": 0.002298, ""10.0"": 7.7e-05, ""11.0"": 0.000282, ""14.0"": 0.000166, ""15.0"": 0.000927, ""16.0"": 0.000785, ""17.0"": 0.000725, ""19.0"": 0.000501, ""2.0"": 0.003307, ""21.0"": 0.000578, ""22.0"": 0.000637, ""23.0"": 0.000975, ""25.0"": 0.000291, ""27.0"": 0.000138, ""29.0"": 0.000945, ""30.0"": 0.866874, ""31.0"": 0.000229, ""32.0"": 0.009143, ""4.0"": 0.000343, ""5.0"": 0.00425, ""7.0"": 0.10518, ""9.0"": 0.000331, ""nan"": 0.000491}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/3134.jpg,Shoes,25.0,"The low-level features of the image are the image of a sandal. The sandal has a flat sole, a strap that goes across the foot, and a decorative element on the strap. The high-level features of the image are that it is a sandal and it is white in color. A person seeing the image might think about the sandal and its design, and feel that it is a casual and comfortable type of footwear.","At a low level, the image features a single sandal with a white strap and a brown sole. The sandal appears to be a casual, everyday type of footwear, likely designed for comfort and ease of use. At a high level, the sandal could evoke feelings of relaxation, leisure, and comfort. The white strap adds a touch of elegance and style, suggesting that the sandal could be suitable for casual outings, beach trips, or other relaxed settings. Overall, the image of the sandal might make a person think of a carefree and enjoyable time spent outdoors or at a social event.","{""Watches"":0.0005,""Topwear"":0.0004,""Sandal"":0.93,""Bottomwear"":0.0004,""Shoes"":0.012,""Apparel Set"":0.0003,""Accessories"":0.0017,""Flip Flops"":0.05,""Bags"":0.0004,""Lips"":0.0002,""Jewellery"":0.0004,""Wallets"":0.0003,""Eyewear"":0.0002,""Innerwear"":0.0003,""Headwear"":0.0003,""Nails"":0.0002,""Belts"":0.0006,""Skin Care"":0.0002,""Saree"":0.0002,""Dress"":0.0003,""Fragrance"":0.0002,""Skin"":0.0002,""Mufflers"":0.0002,""Ties"":0.0003,""Makeup"":0.0002}","{""0.0"": 0.000675, ""1.0"": 0.001919, ""10.0"": 0.086868, ""11.0"": 0.004604, ""14.0"": 0.002427, ""15.0"": 0.002277, ""16.0"": 0.002869, ""17.0"": 0.000406, ""19.0"": 0.00064, ""2.0"": 0.001194, ""21.0"": 0.00085, ""22.0"": 0.033788, ""23.0"": 0.001297, ""25.0"": 0.843795, ""27.0"": 0.001858, ""29.0"": 0.001356, ""30.0"": 0.000763, ""31.0"": 0.001548, ""32.0"": 0.003396, ""4.0"": 0.001535, ""5.0"": 0.001139, ""7.0"": 0.00086, ""9.0"": 0.001922, ""nan"": 0.002013}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/54723.jpg,Apparel Set,1.0,"The person in the image is wearing a colorful traditional outfit with intricate patterns, which could evoke thoughts and feelings of cultural appreciation or curiosity. The combination of a vibrant blue kurta with a floral pattern and bright yellow pants suggests a sense of warmth and positivity. The relaxed pose with hands on hips might give a feeling of confidence and comfort. The outfit's high-level features, such as its traditional style and bright colors, contribute to a cheerful and lively impression, while the low-level features, like the specific patterns and colors, add to the uniqueness and cultural richness of the attire.","The image is blurry and lacks clear details, making it difficult to accurately interpret what a person might think or feel upon seeing it. Without distinct low-level features such as facial expressions, body posture, or high-level features like clothing style, setting, or context, it is not possible to provide a detailed analysis of the potential thoughts or feelings a viewer might have.","{""Watches"":0.002,""Topwear"":0.06,""Sandal"":0.02,""Bottomwear"":0.05,""Shoes"":0.02,""Apparel Set"":0.802,""Accessories"":0.003,""Flip Flops"":0.002,""Bags"":0.002,""Lips"":0.001,""Jewellery"":0.01,""Wallets"":0.001,""Eyewear"":0.001,""Innerwear"":0.001,""Headwear"":0.001,""Nails"":0.0,""Belts"":0.001,""Skin Care"":0.001,""Saree"":0.0,""Dress"":0.02,""Fragrance"":0.0,""Skin"":0.001,""Mufflers"":0.0,""Ties"":0.0,""Makeup"":0.001}","{""0.0"": 0.020182, ""1.0"": 0.143444, ""10.0"": 0.001334, ""11.0"": 0.015203, ""14.0"": 0.007334, ""15.0"": 0.004605, ""16.0"": 0.018701, ""17.0"": 0.043356, ""19.0"": 0.011733, ""2.0"": 0.011323, ""21.0"": 0.010047, ""22.0"": 0.012699, ""23.0"": 0.030651, ""25.0"": 0.002283, ""27.0"": 0.00253, ""29.0"": 0.033497, ""30.0"": 0.10574, ""31.0"": 0.004927, ""32.0"": 0.18839, ""4.0"": 0.006812, ""5.0"": 0.067813, ""7.0"": 0.238693, ""9.0"": 0.004757, ""nan"": 0.013944}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FashionImages/12361.jpg,Topwear,30.0,"Low-level features: The image shows a neatly folded blue dress shirt with a visible collar, buttons, and a pocket square. The shirt appears to be made of a smooth, possibly cotton or cotton-blend fabric, and it has a professional and clean appearance.

High-level features: The shirt's color and style suggest a formal or business casual setting. A person seeing the image might think of occasions such as a work environment, a formal event, or a professional meeting. The pocket square adds a touch of elegance and attention to detail, which could make the person feel that the shirt is well-cared for and ready for a sophisticated occasion. The overall impression is one of professionalism and neatness.","A person seeing the image might think and feel that the shirt is well-made and professional-looking due to the crisp, clean lines and the neat pleats at the bottom. The color is a solid, rich blue, which could evoke feelings of trust, confidence, and calmness. The visible buttons and collar suggest that the shirt is ready to wear, which might make a person feel prepared for a formal or business setting. The overall presentation of the shirt is tidy and orderly, which could give a sense of order and professionalism.","{""Watches"":0.002,""Topwear"":0.972,""Sandal"":0,""Bottomwear"":0.001,""Shoes"":0.001,""Apparel Set"":0.005,""Accessories"":0.003,""Flip Flops"":0,""Bags"":0,""Lips"":0,""Jewellery"":0,""Wallets"":0,""Eyewear"":0,""Innerwear"":0.001,""Headwear"":0,""Nails"":0,""Belts"":0.001,""Skin Care"":0,""Saree"":0,""Dress"":0.004,""Fragrance"":0,""Skin"":0,""Mufflers"":0,""Ties"":0.01,""Makeup"":0}","{""0.0"": 0.00015, ""1.0"": 0.001936, ""10.0"": 4.7e-05, ""11.0"": 0.000158, ""14.0"": 9.6e-05, ""15.0"": 0.000755, ""16.0"": 0.000414, ""17.0"": 0.000263, ""19.0"": 0.000207, ""2.0"": 0.000191, ""21.0"": 0.000146, ""22.0"": 0.000149, ""23.0"": 0.000131, ""25.0"": 0.000104, ""27.0"": 0.000126, ""29.0"": 0.000416, ""30.0"": 0.989637, ""31.0"": 0.000179, ""32.0"": 0.000755, ""4.0"": 0.000246, ""5.0"": 0.001894, ""7.0"": 0.001457, ""9.0"": 0.000171, ""nan"": 0.000372}"
