image_path,label,label_num,description_phi4,description_phi4_noresize,prediction_gpt5_allclassprobs,prediction_convnext_allclassprobs
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/bedroom/sun_avcyyhupdxcvagbu.jpg,bedroom,4.0,"A person seeing the image might think and feel a sense of comfort and relaxation. The low-level features that contribute to this feeling include the warm light from the lamp, which is often associated with relaxation and calmness. The high-level features, such as the neatly made bed with green sheets and the organized nightstand, also contribute to a feeling of cleanliness and order, which can be soothing and comforting. The presence of a telephone and a book suggests that the space is designed for rest and leisure, which can make a person feel welcome and at ease.","The low-level features of the image, such as the bed with a tropical leaf pattern, the nightstand with a lamp, telephone, and alarm clock, and the painting of a beach scene, could lead a person to think and feel a sense of relaxation and vacation-like atmosphere. The high-level features, such as the overall room layout and the choice of decor, suggest a comfortable and peaceful setting, possibly in a hotel or a vacation home. The person might feel at ease and ready to unwind after a day of activities.","{""bedroom"":0.965,""dining_room"":0.003,""tower"":0.0007,""airport_terminal"":0.0007,""cockpit"":0.0007,""mountain"":0.0007,""playground"":0.0007,""skyscraper"":0.0007,""badlands"":0.0007,""amusement_park"":0.0007,""kitchen"":0.003,""bridge"":0.0007,""lighthouse"":0.0007,""house"":0.004,""castle"":0.0008,""highway"":0.0008,""conference_room"":0.002,""living_room"":0.01,""golf_course"":0.0007,""bathroom"":0.003,""pasture"":0.0007}","{""0"": 0.000176, ""1"": 0.000238, ""10"": 0.00028, ""11"": 0.0005, ""12"": 0.000121, ""13"": 0.001075, ""14"": 0.000292, ""15"": 0.00394, ""16"": 0.000278, ""17"": 0.000339, ""18"": 0.000687, ""19"": 0.000287, ""2"": 0.000103, ""20"": 0.000228, ""3"": 0.000949, ""4"": 0.987954, ""5"": 0.000847, ""6"": 0.000405, ""7"": 0.000705, ""8"": 0.000259, ""9"": 0.000338}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/dining_room/sun_bxcvhbkdkwsidcvj.jpg,dining_room,9.0,"A person seeing the image might think and feel a sense of calm and relaxation. The low-level features such as the warm lighting and the presence of a dining table, chairs, and a counter suggest a comfortable and welcoming space for people to gather and enjoy a meal or conversation. The high-level features, such as the artwork on the wall and the clean, organized layout, create an aesthetically pleasing environment that contributes to the overall feeling of serenity and tranquility. The combination of these elements results in a positive experience for anyone who enters the space.","A person seeing the image might think and feel that they are in a well-maintained and modern kitchen and dining area. The low-level features such as the clean and shiny tiled floor, the neat arrangement of the bar stools, and the presence of a sink suggest a functional and tidy space. The high-level features like the abstract paintings on the wall add an artistic and cultured touch to the room, which could evoke feelings of sophistication and relaxation. The overall ambiance of the room is inviting and comfortable, likely to make a person feel at ease.","{""bedroom"":0.01,""dining_room"":0.58,""tower"":0.0,""airport_terminal"":0.0,""cockpit"":0.0,""mountain"":0.0,""playground"":0.0,""skyscraper"":0.0,""badlands"":0.0,""amusement_park"":0.0,""kitchen"":0.25,""bridge"":0.0,""lighthouse"":0.0,""house"":0.01,""castle"":0.0,""highway"":0.0,""conference_room"":0.01,""living_room"":0.12,""golf_course"":0.0,""bathroom"":0.02584 																																																																																																																																		, ""pasture"": 0.0}","{""0"": 0.001323, ""1"": 0.000371, ""10"": 0.000304, ""11"": 0.000224, ""12"": 0.000257, ""13"": 0.002248, ""14"": 0.000136, ""15"": 0.001519, ""16"": 5.9e-05, ""17"": 7.2e-05, ""18"": 0.000139, ""19"": 0.000204, ""2"": 0.000251, ""20"": 8.2e-05, ""3"": 0.000406, ""4"": 0.001021, ""5"": 0.000196, ""6"": 0.000245, ""7"": 0.000233, ""8"": 0.003329, ""9"": 0.987382}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/tower/sun_alswtorpositinqt.jpg,tower,20.0,"A person seeing the image might think and feel a sense of awe and admiration for the architectural beauty of the clock tower. The detailed carvings and the intricate design of the tower's spire could evoke feelings of wonder as one appreciates the craftsmanship and historical significance of the building. The clear blue sky in the background adds to the serene and majestic atmosphere, enhancing the overall grandeur of the scene. The clock on the tower might also remind viewers of the passage of time and the continuity of history, further deepening their emotional connection to the image.","The person seeing the image might think and feel a sense of awe and admiration for the architectural beauty of the tower. The high-level features such as the intricate design, pointed arches, and the presence of clocks on the tower suggest a historical and possibly significant building, which could evoke feelings of respect and wonder. The low-level features like the clear blue sky and the absence of people might contribute to a feeling of tranquility and the timelessness of the structure, enhancing the overall majestic and serene impression of the image.","{""bedroom"":0.001,""dining_room"":0.001,""tower"":0.86,""airport_terminal"":0.001,""cockpit"":0.001,""mountain"":0.002,""playground"":0.001,""skyscraper"":0.026,""badlands"":0.001,""amusement_park"":0.002,""kitchen"":0.001,""bridge"":0.01,""lighthouse"":0.025,""house"":0.01,""castle"":0.05,""highway"":0.001,""conference_room"":0.001,""living_room"":0.001,""golf_course"":0.002,""bathroom"":0.001,""pasture"":0.002}","{""0"": 0.000258, ""1"": 0.000626, ""10"": 0.000555, ""11"": 0.00053, ""12"": 0.001174, ""13"": 0.000148, ""14"": 0.001363, ""15"": 0.000351, ""16"": 0.000599, ""17"": 0.000767, ""18"": 0.000497, ""19"": 0.001783, ""2"": 0.000797, ""20"": 0.985094, ""3"": 9e-05, ""4"": 0.000335, ""5"": 0.001975, ""6"": 0.001122, ""7"": 0.000287, ""8"": 0.000938, ""9"": 0.000712}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/airport_terminal/sun_agdvlwwnditixnrn.jpg,airport_terminal,0.0,"A person seeing the image might think and feel a mix of curiosity and amusement. The low-level features of the image, such as the colorful and intricate design of the slot machine, the bright lights, and the presence of people interacting with it, would likely evoke a sense of excitement and entertainment. The high-level features, such as the setting in an airport and the presence of luggage, suggest that the slot machine is a convenient and engaging way for travelers to pass the time while waiting for their flights. This could lead to feelings of anticipation and impatience, as well as a sense of being surrounded by other people who are also waiting for their turn to play or win at the machine. Overall, the image portrays a lively and engaging atmosphere, which could elicit feelings of curiosity, amusement, and anticipation in a viewer.","A person seeing the image might think and feel a sense of curiosity or amusement due to the presence of the colorful, game-like machine that resembles a pinball or carnival game. The low-level features, such as the bright colors, lights, and the shape of the machine, contribute to a playful and engaging atmosphere. The high-level features, including the number of people around the machine and the busy environment, suggest that it is a popular attraction, possibly in a public space like a mall or amusement park, which can evoke feelings of excitement or nostalgia for those who enjoy such games.","{""bedroom"":0.001,""dining_room"":0.002,""tower"":0.004,""airport_terminal"":0.93,""cockpit"":0.001,""mountain"":0.001,""playground"":0.002,""skyscraper"":0.01,""badlands"":0.001,""amusement_park"":0.02,""kitchen"":0.001,""bridge"":0.004,""lighthouse"":0.001,""house"":0.003,""castle"":0,""highway"":0.005,""conference_room"":0.01,""living_room"":0.002,""golf_course"":0.001,""bathroom"":0.001,""pasture"":0}","{""0"": 0.981837, ""1"": 0.003076, ""10"": 0.000548, ""11"": 0.001779, ""12"": 0.000897, ""13"": 0.000331, ""14"": 0.000549, ""15"": 0.001218, ""16"": 0.000351, ""17"": 0.000446, ""18"": 0.000875, ""19"": 0.000637, ""2"": 0.000352, ""20"": 0.000193, ""3"": 0.000687, ""4"": 0.000874, ""5"": 0.001982, ""6"": 0.001097, ""7"": 0.000137, ""8"": 0.001404, ""9"": 0.00073}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/tower/sun_bycnaeordrpuwyds.jpg,tower,20.0,"A person seeing the image might think about the historical and architectural significance of the building, given its tall, narrow structure and the presence of a spire, which suggests it could be a church or a similar institution. The clear sky and daylight might evoke a sense of tranquility or serenity, while the presence of trees could suggest a peaceful, natural setting. The overall composition of the image, with the building as the central focus against the sky and foliage, might also give a viewer a sense of awe or admiration for the craftsmanship and design of the structure.","The person seeing the image might think and feel a sense of curiosity and admiration for the historical architecture of the tower. The low-level features such as the stone construction, the arched windows, and the weathered appearance of the tower suggest a sense of age and historical significance. The high-level features, such as the clear blue sky and the surrounding greenery, contribute to a feeling of tranquility and natural beauty. The tower stands tall and proud, commanding attention and inviting exploration.","{""bedroom"":0.001,""dining_room"":0.001,""tower"":0.83,""airport_terminal"":0.001,""cockpit"":0.0005,""mountain"":0.002,""playground"":0.001,""skyscraper"":0.04,""badlands"":0.0005,""amusement_park"":0.001,""kitchen"":0.001,""bridge"":0.01,""lighthouse"":0.03,""house"":0.02,""castle"":0.05,""highway"":0.001,""conference_room"":0.001,""living_room"":0.001,""golf_course"":0.002,""bathroom"":0.002,""pasture"":0.004}","{""0"": 0.000104, ""1"": 0.000245, ""10"": 0.000623, ""11"": 0.000386, ""12"": 0.000718, ""13"": 7.9e-05, ""14"": 0.00114, ""15"": 0.000227, ""16"": 0.000426, ""17"": 0.000686, ""18"": 0.000469, ""19"": 0.000482, ""2"": 0.000384, ""20"": 0.990057, ""3"": 0.000157, ""4"": 0.00027, ""5"": 0.00094, ""6"": 0.000935, ""7"": 0.000328, ""8"": 0.000654, ""9"": 0.000689}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/cockpit/sun_amxpbttmolozazmh.jpg,cockpit,7.0,"A person seeing the image might think about the complexity and precision required in the field of aviation or space exploration. The intricate array of dials, gauges, and controls suggests a high level of technical skill and knowledge is necessary to operate such equipment. The person might feel a sense of awe or respect for the engineering and technology that make such operations possible. The image could also evoke curiosity about the specific context of the equipment's use, such as whether it is part of a spacecraft, an aircraft, or another type of vehicle. The presence of the person in the image, wearing a spacesuit, adds a human element to the scene, which might make the viewer think about the challenges and risks associated with working in such environments.","The person viewing the image might think and feel a sense of awe at the complexity and precision of the cockpit controls and instruments. The high-level features, such as the array of dials, gauges, and switches, suggest a highly sophisticated and technologically advanced environment. This could evoke feelings of admiration for the engineering and design that went into creating such a control panel. The low-level features, like the specific arrangement of the controls and the detailed labeling, indicate a high level of attention to detail and functionality. For model testing purposes, the image could be used to assess a model's ability to recognize and interpret complex control panels, as well as to evaluate the model's understanding of the relationships between different components and their functions within a high-tech environment.","{""bedroom"":0.001,""dining_room"":0.001,""tower"":0.001,""airport_terminal"":0.01,""cockpit"":0.97,""mountain"":0.001,""playground"":0.001,""skyscraper"":0.001,""badlands"":0.001,""amusement_park"":0.001,""kitchen"":0.001,""bridge"":0.001,""lighthouse"":0.001,""house"":0.001,""castle"":0.001,""highway"":0.001,""conference_room"":0.002,""living_room"":0.001,""golf_course"":0.001,""bathroom"":0.001,""pasture"":0.001}","{""0"": 0.000565, ""1"": 0.001087, ""10"": 0.000895, ""11"": 0.000492, ""12"": 0.000701, ""13"": 0.000613, ""14"": 0.000659, ""15"": 0.000658, ""16"": 0.000736, ""17"": 0.00097, ""18"": 0.001023, ""19"": 0.000913, ""2"": 0.000912, ""20"": 0.000579, ""3"": 0.000431, ""4"": 0.001048, ""5"": 0.000498, ""6"": 0.000433, ""7"": 0.985294, ""8"": 0.001019, ""9"": 0.000473}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/mountain/sun_boxfizxdmlaotdgc.jpg,mountain,16.0,"A person seeing the image might think and feel a sense of awe and wonder due to the majestic and imposing presence of the snow-capped mountain range in the background. The high-level features of the image, such as the towering peaks and the vast expanse of the mountain range, evoke a feeling of grandeur and the sublime. The low-level features, such as the trees in the foreground, add a sense of scale and perspective, making the mountains appear even more impressive. The clear blue sky and the absence of any visible human activity might also give the person a sense of peace and tranquility, as if they are witnessing a remote and untouched natural landscape. Overall, the image can evoke a range of emotions, from awe and wonder to peace and tranquility, depending on the viewer's personal experiences and associations with such landscapes.","The person seeing the image might think and feel a sense of awe and wonder due to the high-level features such as the majestic and towering mountain range. The snow-capped peaks and the clear blue sky could evoke feelings of tranquility and peace. The low-level features, such as the trees in the foreground, might give a sense of scale to the mountain range, making the viewer feel small and humbled in the face of nature's grandeur.","{""bedroom"":0.001,""dining_room"":0.001,""tower"":0.002,""airport_terminal"":0.001,""cockpit"":0.001,""mountain"":0.925,""playground"":0.002,""skyscraper"":0.001,""badlands"":0.015,""amusement_park"":0.002,""kitchen"":0.001,""bridge"":0.001,""lighthouse"":0.001,""house"":0.005,""castle"":0.002,""highway"":0.002,""conference_room"":0.001,""living_room"":0.001,""golf_course"":0.004,""bathroom"":0.001,""pasture"":0.03}","{""0"": 0.000245, ""1"": 0.000508, ""10"": 0.00275, ""11"": 0.001071, ""12"": 0.000668, ""13"": 0.00011, ""14"": 0.001128, ""15"": 0.000465, ""16"": 0.98091, ""17"": 0.001073, ""18"": 0.000726, ""19"": 0.001393, ""2"": 0.001574, ""20"": 0.000688, ""3"": 0.00042, ""4"": 0.000171, ""5"": 0.000991, ""6"": 0.004017, ""7"": 0.000422, ""8"": 0.000354, ""9"": 0.000314}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/mountain/sun_bdgkjthkoxhovklv.jpg,mountain,16.0,"A person seeing the image might think and feel a sense of awe or wonder due to the high-level features of the image, such as the majestic and towering mountains. The vastness and grandeur of the landscape might also evoke feelings of admiration or inspiration. Additionally, the presence of snow on the mountains could indicate a cold and challenging environment, which might prompt thoughts about the resilience of nature and the beauty of winter landscapes. The low-level features, such as the texture and color of the mountains, could also contribute to a sense of realism and detail, further enhancing the overall impact of the image.","The person seeing the image might think and feel a sense of awe and wonder at the grandeur and scale of the mountain range. The low-level features, such as the rugged, rocky terrain and the snow-capped peaks, could evoke feelings of adventure and the thrill of exploring the great outdoors. The high-level features, such as the layered rock formations and the vastness of the landscape, might inspire thoughts of the Earth's natural history and the power of geological processes. The clear sky and the distant mountains could also give a sense of tranquility and the beauty of untouched nature. Overall, the image could evoke a mix of emotions, from excitement and curiosity to peace and contemplation.","{""bedroom"":0.0004,""dining_room"":0.0004,""tower"":0.001,""airport_terminal"":0.0005,""cockpit"":0.0004,""mountain"":0.97,""playground"":0.0005,""skyscraper"":0.0005,""badlands"":0.01,""amusement_park"":0.0004,""kitchen"":0.0004,""bridge"":0.0005,""lighthouse"":0.0005,""house"":0.0004,""castle"":0.0005,""highway"":0.0005,""conference_room"":0.0004,""living_room"":0.0004,""golf_course"":0.0005,""bathroom"":0.0004,""pasture"":0.0114}","{""0"": 0.000292, ""1"": 0.000781, ""10"": 0.003662, ""11"": 0.000666, ""12"": 0.000937, ""13"": 9.5e-05, ""14"": 0.000688, ""15"": 0.000356, ""16"": 0.978407, ""17"": 0.000591, ""18"": 0.000436, ""19"": 0.001546, ""2"": 0.004642, ""20"": 0.000796, ""3"": 0.000491, ""4"": 0.000498, ""5"": 0.001649, ""6"": 0.001852, ""7"": 0.000571, ""8"": 0.000734, ""9"": 0.00031}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/playground/sun_bbqgnovfdferpqba.jpg,playground,18.0,"A person seeing the image might think and feel a sense of nostalgia or childhood joy due to the presence of a playground, which is a common setting for children to play and socialize. The low-level features such as the green grass, the sand, and the playground equipment like slides and benches contribute to a safe and inviting environment for kids. The high-level features, such as the well-maintained playground and the surrounding trees, suggest a community that values the well-being of its children and provides them with necessary facilities for play and growth. This can evoke feelings of warmth, security, and happiness in the viewer.","A person seeing the image might feel a sense of calm and safety due to the well-maintained and clean playground equipment. The bright colors, such as the yellow and green, could evoke feelings of happiness and playfulness, which are often associated with children's play areas. The presence of benches suggests a space designed for rest and relaxation, indicating that the facility is user-friendly and considerate of the needs of both children and adults. The open grassy area provides a natural and inviting environment, which could make visitors feel more at ease. Overall, the high-level features of the playground, such as its design and layout, combined with the low-level features like cleanliness and maintenance, contribute to a positive and welcoming atmosphere.","{""bedroom"":0.0005,""dining_room"":0.0005,""tower"":0.004,""airport_terminal"":0.001,""cockpit"":0.0005,""mountain"":0.001,""playground"":0.9015,""skyscraper"":0.001,""badlands"":0.0005,""amusement_park"":0.03,""kitchen"":0.0005,""bridge"":0.005,""lighthouse"":0.001,""house"":0.02,""castle"":0.001,""highway"":0.0005,""conference_room"":0.0005,""living_room"":0.0005,""golf_course"":0.02,""bathroom"":0.0005,""pasture"":0.01}","{""0"": 0.001355, ""1"": 0.003456, ""10"": 0.002192, ""11"": 0.001002, ""12"": 0.003562, ""13"": 0.000579, ""14"": 0.001736, ""15"": 0.00079, ""16"": 0.00026, ""17"": 0.00189, ""18"": 0.975725, ""19"": 0.000236, ""2"": 0.001264, ""20"": 0.000415, ""3"": 0.000955, ""4"": 0.000444, ""5"": 0.000389, ""6"": 0.002123, ""7"": 0.000363, ""8"": 0.000589, ""9"": 0.000676}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/bedroom/sun_atqziwomdcdyuoju.jpg,bedroom,4.0,"A person seeing the image might think and feel a sense of calm and relaxation due to the high-level features of the image. The room is well-lit with natural light coming through the large windows, and the color scheme is soft and soothing with white and cream tones. The bed is neatly made with a comfortable-looking bedspread and pillows, and there is a bench for sitting or placing a book. The room also has a ceiling fan, which could provide a gentle breeze and contribute to the overall comfort of the space. The low-level features, such as the framed pictures on the wall and the neatly arranged furniture, add to the sense of order and tranquility in the room. Overall, the image conveys a sense of peacefulness and relaxation, which could make a person feel at ease and content.","A person seeing the image might think and feel a sense of calm and relaxation due to the serene and well-decorated bedroom setting. The low-level features such as the neatly made bed with a floral bedspread, a comfortable bench, and the soft lighting contribute to a peaceful and inviting atmosphere. The high-level features like the elegant wooden headboard, the artwork on the wall, and the large windows with curtains allow natural light to fill the room, enhancing the overall sense of tranquility. The room's design and decor suggest a comfortable and luxurious space, likely to evoke feelings of contentment and relaxation.","{""bedroom"":0.975,""dining_room"":0.002,""tower"":0.0005,""airport_terminal"":0.0005,""cockpit"":0.0005,""mountain"":0.0005,""playground"":0.0005,""skyscraper"":0.0005,""badlands"":0.0005,""amusement_park"":0.0005,""kitchen"":0.002,""bridge"":0.0005,""lighthouse"":0.0005,""house"":0.005,""castle"":0.0005,""highway"":0.0005,""conference_room"":0.0005,""living_room"":0.0065,""golf_course"":0.0005,""bathroom"":0.002,""pasture"":0.0005}","{""0"": 0.000215, ""1"": 0.000131, ""10"": 0.000162, ""11"": 0.00038, ""12"": 0.000206, ""13"": 0.000388, ""14"": 0.000272, ""15"": 0.001218, ""16"": 8.3e-05, ""17"": 0.000305, ""18"": 0.000243, ""19"": 0.00012, ""2"": 0.0001, ""20"": 0.000118, ""3"": 0.000363, ""4"": 0.993645, ""5"": 0.000262, ""6"": 0.000296, ""7"": 0.0002, ""8"": 0.000477, ""9"": 0.000816}"
/media/my_drives/DATA4/data/image_benchmark_phi/media/my_drives/DATA1/data/image_benchmark/drive_content/data/FILGRIM/bedroom/sun_arzmazsryswqlscl.jpg,bedroom,4.0,"A person seeing the image might feel a sense of calmness and relaxation, as the room is well-decorated and has a warm, inviting atmosphere. The bed appears to be ready for rest, which could evoke feelings of comfort. The presence of the tray with a cup and a book on it suggests a cozy and leisurely environment, perhaps for reading before sleep. The high-level feature of the room being a bedroom, combined with the low-level features such as the neatly made bed, the comfortable pillows, and the soft lighting, all contribute to the overall feeling of tranquility and restfulness.","A person seeing the image might think and feel a sense of comfort and relaxation due to the warm and inviting atmosphere. The low-level features such as the soft beige walls, the plush carpet, and the wooden bed frame with its intricate design contribute to a cozy and traditional aesthetic. The high-level features, including the large bed with a rich, patterned quilt and the bedside table with a lamp, suggest a space that is well-appointed and intended for rest and rejuvenation. The presence of a window with a view of greenery outside might also evoke feelings of tranquility and a connection to nature. Overall, the image conveys a sense of calm and homeliness that could make a person feel at ease and welcome.","{""bedroom"":0.93,""dining_room"":0.005,""tower"":0.00125,""airport_terminal"":0.00125,""cockpit"":0.00125,""mountain"":0.00125,""playground"":0.00125,""skyscraper"":0.00125,""badlands"":0.00125,""amusement_park"":0.00125,""kitchen"":0.005,""bridge"":0.00125,""lighthouse"":0.00125,""house"":0.02,""castle"":0.00125,""highway"":0.00125,""conference_room"":0.00125,""living_room"":0.02,""golf_course"":0.00125,""bathroom"":0.00125,""pasture"":0.00125}","{""0"": 0.000102, ""1"": 6.5e-05, ""10"": 9.7e-05, ""11"": 0.000145, ""12"": 0.000161, ""13"": 0.000796, ""14"": 0.000227, ""15"": 0.001156, ""16"": 0.00016, ""17"": 0.000233, ""18"": 9.7e-05, ""19"": 8.7e-05, ""2"": 5.4e-05, ""20"": 0.000127, ""3"": 0.000219, ""4"": 0.99496, ""5"": 0.000228, ""6"": 0.000201, ""7"": 0.000191, ""8"": 0.000265, ""9"": 0.000429}"
